,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
30,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,0.0068,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197
31,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,0.0477,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397,0.1397
32,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,0.0614,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800
33,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,0.0883,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604,0.2604
34,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,0.1142,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395,0.3395
35,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,0.1500,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537,0.4537
36,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,0.1805,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598,0.5598
37,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,0.1892,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928,0.5928
38,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,-0.2143,0.2203,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379,0.7379
39,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,-0.2143,-0.2973,0.2263,0.7859,0.7859,0.7859,0.7859,0.7859,0.7859,0.7859,0.7859,0.7859,0.7859,0.7859
40,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,-0.2143,-0.2973,-0.3333,0.2278,0.8077,0.8077,0.8077,0.8077,0.8077,0.8077,0.8077,0.8077,0.8077,0.8077
41,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,-0.2143,-0.2973,-0.3333,-0.3521,0.2283,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281,0.8281
42,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,-0.2143,-0.2973,-0.3333,-0.3521,-0.3715,0.2237,0.8808,0.8808,0.8808,0.8808,0.8808,0.8808,0.8808,0.8808
43,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,-0.2143,-0.2973,-0.3333,-0.3521,-0.3715,-0.4334,0.2093,0.9218,0.9218,0.9218,0.9218,0.9218,0.9218,0.9218
44,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,0.0062,-0.0062,-0.0442,-0.0572,-0.0838,-0.1111,-0.1538,-0.1988,-0.2143,-0.2973,-0.3333,-0.3521,-0.3715,-0.4334,-0.5031,0.2023,0.9331,0.9331,0.9331,0.9331,0.9331,0.9331
